freq	lemme
1211	nerveux
1212	nord
1213	crise
1214	connard
1215	moindre
1216	tableau
1217	piquer
1218	admettre
1219	restaurant
1220	trésor
1221	nu
1222	produire
1223	tombe
1224	poche
1225	menacer
1226	couple
1227	gâcher
1228	odeur
1229	vu
1230	souci
1231	lorsque
1232	concerner
1233	énorme
1234	programme
1235	allemand
1236	toit
1237	bravo
1238	représenter
1239	bénir
1240	telle
1241	rapide
1242	fusil
1243	enceinte
1244	repas
1245	certaines
1246	montre
1247	fantôme
1248	endormir
1249	plage
1250	entrée
1251	louer
1252	mine
1253	hasard
1254	soigner
1255	chasse
1256	organiser
1257	sortie
1258	examen
1259	cadavre
1260	vache
1261	ranger
1262	passe
1263	couler
1264	rigoler
1265	commettre
1266	in
1267	sol
1268	volonté
1269	public
1270	quelles
1271	ventre
1272	trahir
1273	condition
1274	débrouiller
1275	shérif
1276	fâcher
1277	parti
1278	lui-même
1279	samedi
1280	malgré
1281	étage
1282	source
1283	frais
1284	attacher
1285	joindre
1286	horreur
1287	sexuel
1288	pluie
1289	responsable
1290	celui-ci
1291	objet
1292	finalement
1293	toi-même
1294	presse
1295	siècle
1296	voyager
1297	larme
1298	mlle
1299	ombre
1300	nommer
1301	rat
1302	cri
1303	conscience
1304	rechercher
1305	parfaitement
1306	unique
1307	procès
1308	valeur
1309	désir
1310	juif
1311	obéir
1312	mets
1313	saluer
1314	direction
1315	présence
1316	utile
1317	paquet
1318	sein
1319	nourriture
1320	mordre
1321	sort
1322	guérir
1323	passage
1324	jaloux
1325	nombreux
1326	nul
1327	sommeil
1328	week-end
1329	stop
1330	flingue
1331	article
1332	adieu
1333	viande
1334	détendre
1335	interroger
1336	étude
1337	faillir
1338	talent
1339	condamner
1340	cou
1341	deuxième
1342	au-dessus
1343	espace
1344	apparaître
1345	don
1346	marquer
1347	ramasser
1348	militaire
1349	château
1350	chemise
1351	mètre
1352	abattre
1353	unité
1354	majesté
1355	imbécile
1356	commissaire
1357	taille
1358	apparemment
1359	connaissance
1360	français
1361	énergie
1362	cent
1363	sec
1364	considérer
1365	pendre
1366	cellule
1367	combattre
1368	posséder
1369	discours
1370	bouffer
1371	effort
1372	arrivée
1373	observer
1374	dépasser
1375	lycée
1376	fonctionner
1377	profond
1378	fouiller
1379	pomme
1380	repos
1381	goûter
1382	conversation
1383	insister
1384	gare
1385	transformer
1386	annuler
1387	empreinte
1388	oeuvre
1389	réunir
1390	médicament
1391	blessure
1392	piger
1393	punir
1394	renoncer
1395	déclarer
1396	queue
1397	confier
1398	malin
1399	théâtre
1400	leçon
1401	violence
1402	ministre
1403	rompre
1404	titre
1405	éclater
1406	alcool
1407	poulet
1408	péché
1409	invité
1410	court
1411	éloigner
1412	porc
1413	allonger
1414	front
1415	appuyer
1416	résoudre
1417	com
1418	artiste
1419	geste
1420	os
1421	université
1422	chauffeur
1423	s
1424	fabriquer
1425	mouvement
1426	marque
1427	agréable
1428	autrement
1429	nombre
1430	balancer
1431	vitesse
1432	filmer
1433	chaise
1434	puissant
1435	manteau
1436	ouvert
1437	joyeux
1438	déconner
1439	saint
1440	heureusement
1441	naturel
1442	voiler
1443	naissance
1444	former
